Dosya_Adi,Payload_Bit,Toplam_Piksel,Guvenli_Piksel(K),Daralma_Orani(%),ABC_Suresi_sn,MSE,PSNR_dB,SSIM
1.pgm,10000,65536,23952,36.5479,0.02284,0.074661,59.3999,0.99985
10.pgm,10000,65536,35296,53.8574,0.02444,0.075546,59.3487,0.999864
100.pgm,10000,65536,31616,48.2422,0.02491,0.076462,59.2964,0.999768
1000.pgm,10000,65536,27120,41.3818,0.02621,0.076157,59.3137,0.999875
10000.pgm,10000,65536,47728,72.8271,0.04616,0.075989,59.3233,0.99988
1001.pgm,10000,65536,12736,19.4336,0.19724,0.075333,59.361,0.999703
1002.pgm,10000,65536,24144,36.8408,0.05516,0.07663,59.2868,0.999902
1003.pgm,10000,65536,38816,59.2285,0.03417,0.078049,59.2071,0.999803
1004.pgm,10000,65536,13168,20.0928,0.02452,0.074615,59.4025,0.999834
1005.pgm,10000,65536,37152,56.6895,0.02604,0.077896,59.2156,0.999875
1006.pgm,10000,65536,62304,95.0684,0.02797,0.077194,59.255,0.999977
1007.pgm,10000,65536,47536,72.5342,0.02652,0.075912,59.3277,0.999874
1008.pgm,10000,65536,42144,64.3066,0.02697,0.076416,59.299,0.999889
1009.pgm,10000,65536,37888,57.8125,0.0273,0.075974,59.3242,0.999851
101.pgm,10000,65536,55440,84.5947,0.03707,0.075653,59.3425,0.999906
1010.pgm,10000,65536,18096,27.6123,0.19426,0.075363,59.3592,0.999741
1011.pgm,10000,65536,27904,42.5781,0.07021,0.076019,59.3216,0.999851
1012.pgm,10000,65536,37120,56.6406,0.03459,0.076645,59.286,0.999876
1013.pgm,10000,65536,37696,57.5195,0.02911,0.076248,59.3085,0.99988
1014.pgm,10000,65536,40112,61.2061,0.02699,0.07515,59.3715,0.99988
1015.pgm,10000,65536,39792,60.7178,0.02642,0.076782,59.2782,0.999852
1018.pgm,10000,65536,17168,26.1963,0.02974,0.07637,59.3016,0.999841
1019.pgm,10000,65536,31648,48.291,0.20189,0.076782,59.2782,0.999876
102.pgm,10000,65536,63584,97.0215,0.06459,0.075745,59.3373,0.999944
1020.pgm,10000,65536,35184,53.6865,0.03107,0.075424,59.3557,0.99987
1021.pgm,10000,65536,49776,75.9521,0.0286,0.076141,59.3146,0.999811
1022.pgm,10000,65536,50640,77.2705,0.02594,0.074997,59.3804,0.999732
1023.pgm,10000,65536,33248,50.7324,0.02236,0.075378,59.3583,0.999814
1024.pgm,10000,65536,49904,76.1475,0.02554,0.07666,59.2851,0.999861
1025.pgm,10000,65536,36144,55.1514,0.02527,0.077225,59.2532,0.999853
1026.pgm,10000,65536,25488,38.8916,0.0268,0.076355,59.3024,0.999864
1027.pgm,10000,65536,13424,20.4834,0.03021,0.07489,59.3866,0.999789
1028.pgm,10000,65536,26336,40.1855,0.17496,0.077103,59.2601,0.999792
1029.pgm,10000,65536,29168,44.5068,0.07631,0.076324,59.3042,0.999845
103.pgm,10000,65536,21648,33.0322,0.04703,0.077362,59.2455,0.999833
1030.pgm,10000,65536,18944,28.9062,0.03278,0.07608,59.3181,0.999828
1031.pgm,10000,65536,10176,15.5273,0.03064,0.074814,59.391,0.999824
1032.pgm,10000,65536,36128,55.127,0.03396,0.076569,59.2903,0.999924
1033.pgm,10000,65536,27008,41.2109,0.06917,0.076447,59.2972,0.999844
1035.pgm,10000,65536,23312,35.5713,0.1037,0.076202,59.3111,0.999811
1036.pgm,10000,65536,36144,55.1514,0.0363,0.077179,59.2558,0.999757
1039.pgm,10000,65536,39824,60.7666,0.03022,0.076355,59.3024,0.999839
104.pgm,10000,65536,24368,37.1826,0.02705,0.075241,59.3663,0.999829
1040.pgm,10000,65536,35168,53.6621,0.0287,0.074997,59.3804,0.999904
1041.pgm,10000,65536,56624,86.4014,0.03859,0.076859,59.2739,0.999955
1042.pgm,10000,65536,12048,18.3838,0.18806,0.076614,59.2877,0.999781
1043.pgm,10000,65536,33344,50.8789,0.06129,0.076523,59.2929,0.999853
1045.pgm,10000,65536,12224,18.6523,0.03067,0.07489,59.3866,0.999791
